cell,model_tier,effort,item_id,correct,expected,got,reasoning_tokens,content_tokens,wall_s,finish_reason,ts
cell,model_tier,effort,item_id,correct,expected,got,reasoning_tokens,content_tokens,wall_s,finish_reason,ts
Q8@off,Q8,off,0,1,49,49,0,1000,29.74,stop,19:30:24
Q8@off,Q8,off,1,1,124,124,0,498,16.33,stop,19:30:40
Q8@off,Q8,off,2,1,5,5,0,885,29.27,stop,19:31:10
Q8@off,Q8,off,3,1,12,12,0,781,25.71,stop,19:31:35
Q8@off,Q8,off,4,1,5,5,0,1324,43.26,stop,19:32:19
Q8@off,Q8,off,5,1,35,35,0,598,19.69,stop,19:32:38
Q8@off,Q8,off,6,1,84,84,0,607,19.13,stop,19:32:58
Q8@off,Q8,off,7,1,85,85,0,754,23.28,stop,19:33:21
Q8@off,Q8,off,8,1,462,462,0,579,17.63,stop,19:33:39
Q8@off,Q8,off,9,1,2,2,0,368,11.79,stop,19:33:50
Q8@xhigh,Q8,xhigh,0,1,49,49,441,123,22.2,stop,19:34:13
Q8@xhigh,Q8,xhigh,1,1,124,124,159,169,11.62,stop,19:34:24
Q8@xhigh,Q8,xhigh,2,1,5,5,299,99,15.01,stop,19:34:54
Q8@xhigh,Q8,xhigh,3,1,12,12,591,262,29.78,stop,19:35:24
Q8@xhigh,Q8,xhigh,4,1,5,5,340,290,26.21,stop,19:35:50
Q8@xhigh,Q8,xhigh,5,1,35,35,174,100,11.6,stop,19:36:01
Q8@xhigh,Q8,xhigh,6,1,84,84,142,99,9.18,stop,19:36:11
Q8@xhigh,Q8,xhigh,7,1,85,85,354,238,20.43,stop,19:36:31
Q8@xhigh,Q8,xhigh,8,1,462,462,105,89,7.5,stop,19:36:39
Q8@xhigh,Q8,xhigh,9,1,2,2,97,182,11.22,stop,19:36:50
Q8@medium,Q8,medium,0,1,49,49,616,121,26.8,stop,19:37:17
Q8@medium,Q8,medium,1,1,124,124,159,282,14.01,stop,19:37:31
Q8@medium,Q8,medium,2,1,5,5,305,225,18.34,stop,19:37:49
Q8@medium,Q8,medium,3,1,12,12,1320,379,61.42,stop,19:38:50
Q8@medium,Q8,medium,4,1,5,5,457,374,28.65,stop,19:39:19
Q8@medium,Q8,medium,5,1,35,35,93,98,7.63,stop,19:39:27
Q8@medium,Q8,medium,6,1,84,84,154,136,10.24,stop,19:39:37
Q8@medium,Q8,medium,7,1,85,85,248,229,17.0,stop,19:39:54
Q8@medium,Q8,medium,8,1,462,462,110,150,9.32,stop,19:40:03
Q8@medium,Q8,medium,9,1,2,2,87,143,9.29,stop,19:40:13
Q6@off,Q6,off,0,1,49,49,0,1031,35.39,stop,19:40:48
Q6@off,Q6,off,1,1,124,124,0,580,16.19,stop,19:41:04
Q6@off,Q6,off,2,1,5,5,0,1014,29.6,stop,19:41:34
Q6@off,Q6,off,3,1,12,12,0,1150,32.77,stop,19:42:07
Q6@off,Q6,off,4,1,5,5,0,1462,41.76,stop,19:42:48
Q6@off,Q6,off,5,1,35,35,0,596,17.03,stop,19:43:05
Q6@off,Q6,off,6,1,84,84,0,657,18.18,stop,19:43:24
Q6@off,Q6,off,7,1,85,85,0,790,21.65,stop,19:43:45
Q6@off,Q6,off,8,1,462,462,0,551,15.22,stop,19:44:00
Q6@off,Q6,off,9,1,2,2,0,370,10.57,stop,19:44:11
Q6@xhigh,Q6,xhigh,0,1,49,49,440,123,19.44,stop,19:44:30
Q6@xhigh,Q6,xhigh,1,1,124,124,149,216,11.75,stop,19:44:42
Q6@xhigh,Q6,xhigh,2,1,5,5,299,99,13.09,stop,19:44:55
Q6@xhigh,Q6,xhigh,3,1,12,12,692,263,31.09,stop,19:45:26
Q6@xhigh,Q6,xhigh,4,1,5,5,418,373,25.16,stop,19:45:52
Q6@xhigh,Q6,xhigh,5,1,35,35,196,166,12.91,stop,19:46:04
Q6@xhigh,Q6,xhigh,6,1,84,84,142,141,9.62,stop,19:46:14
Q6@xhigh,Q6,xhigh,7,1,85,85,371,193,19.66,stop,19:46:34
Q6@xhigh,Q6,xhigh,8,1,462,462,108,89,6.67,stop,19:46:40
Q6@xhigh,Q6,xhigh,9,1,2,2,108,131,8.79,stop,19:46:49
