cell,model_tier,effort,item_id,correct,expected,got,reasoning_tokens,content_tokens,wall_s,finish_reason,ts
Q8@off,Q8,off,0,1,9,9,0,1378,51.26,stop,19:50:09
Q8@off,Q8,off,1,0,64,24,0,4096,140.06,length,19:52:44
Q8@off,Q8,off,2,1,1,1,0,809,26.86,stop,19:53:11
Q8@off,Q8,off,3,1,1002001,1002001,0,1113,37.34,stop,19:53:48
Q8@off,Q8,off,4,1,8,8,0,2212,74.32,stop,19:55:02
Q8@off,Q8,off,5,1,76,76,0,1004,31.15,stop,19:55:34
Q8@off,Q8,off,6,0,61,61.80,0,4096,145.76,length,19:57:59
Q8@off,Q8,off,7,1,144,144,0,1277,40.98,stop,19:58:40
Q8@off,Q8,off,8,1,100,100,0,1354,41.23,stop,19:59:22
Q8@off,Q8,off,9,1,138,138,0,2309,70.03,stop,20:00:32
Q8@xhigh,Q8,xhigh,0,1,9,9,400,320,30.21,stop,20:01:02
Q8@xhigh,Q8,xhigh,1,0,64,,4096,0,181.44,length,20:04:03
Q8@xhigh,Q8,xhigh,2,1,1,1,283,227,18.04,stop,20:04:21
Q8@xhigh,Q8,xhigh,3,0,1002001,,4096,0,168.48,length,20:07:10
Q8@xhigh,Q8,xhigh,4,1,8,8,1217,376,59.12,stop,20:08:09
Q8@xhigh,Q8,xhigh,5,1,76,76,738,272,32.55,stop,20:08:42
Q8@xhigh,Q8,xhigh,6,0,61,,4096,0,170.6,length,20:11:32
Q8@xhigh,Q8,xhigh,7,1,144,144,374,351,25.18,stop,20:11:57
Q8@xhigh,Q8,xhigh,8,1,100,100,1224,370,58.38,stop,20:12:56
Q8@xhigh,Q8,xhigh,9,0,138,,4096,0,136.22,length,20:15:12
Q8@medium,Q8,medium,0,1,9,9,404,332,29.77,stop,20:15:42
Q8@medium,Q8,medium,1,0,64,,4096,0,159.37,length,20:18:21
Q8@medium,Q8,medium,2,0,1,,4096,0,112.72,length,20:20:14
Q8@medium,Q8,medium,3,1,1002001,1002001,1301,503,69.77,stop,20:21:24
Q8@medium,Q8,medium,4,1,8,8,2686,456,122.55,stop,20:23:26
Q8@medium,Q8,medium,5,1,76,76,488,255,24.75,stop,20:23:51
Q8@medium,Q8,medium,6,0,61,1,4012,82,173.44,length,20:26:44
Q8@medium,Q8,medium,7,1,144,144,367,350,28.27,stop,20:27:13
Q8@medium,Q8,medium,8,1,100,100,889,554,49.43,stop,20:28:02
Q8@medium,Q8,medium,9,0,138,,4096,0,146.55,length,20:30:29
Q6@off,Q6,off,0,1,9,9,0,1494,50.36,stop,20:31:19
Q6@off,Q6,off,1,1,64,64,0,3747,114.8,stop,20:33:14
Q6@off,Q6,off,2,1,1,1,0,1538,43.76,stop,20:33:58
Q6@off,Q6,off,3,1,1002001,1002001,0,2535,76.62,stop,20:35:14
Q6@off,Q6,off,4,1,8,8,0,1925,54.64,stop,20:36:09
Q6@off,Q6,off,5,1,76,76,0,1166,31.62,stop,20:36:41
Q6@off,Q6,off,6,1,61,61,0,2770,87.81,stop,20:38:08
Q6@off,Q6,off,7,1,144,144,0,1271,36.1,stop,20:38:45
Q6@off,Q6,off,8,1,100,100,0,1334,36.16,stop,20:39:21
Q6@off,Q6,off,9,1,138,138,0,2190,61.14,stop,20:40:22
Q6@xhigh,Q6,xhigh,0,1,9,9,236,257,17.95,stop,20:40:40
Q6@xhigh,Q6,xhigh,1,0,64,,4096,0,157.78,length,20:43:18
Q6@xhigh,Q6,xhigh,2,1,1,1,288,237,16.9,stop,20:43:35
Q6@xhigh,Q6,xhigh,3,1,1002001,1002001,2389,437,96.1,stop,20:45:11
Q6@xhigh,Q6,xhigh,4,1,8,8,2230,392,90.76,stop,20:46:41
Q6@xhigh,Q6,xhigh,5,1,76,76,838,250,31.99,stop,20:47:13
Q6@xhigh,Q6,xhigh,6,0,61,,4096,0,149.19,length,20:49:43
Q6@xhigh,Q6,xhigh,7,1,144,144,470,334,26.37,stop,20:50:09
Q6@xhigh,Q6,xhigh,8,1,100,100,1620,320,66.52,stop,20:51:16
Q6@xhigh,Q6,xhigh,9,0,138,,4096,0,132.33,length,20:53:28
