cell,recipe,effort,task,rep,outcome,turns,tool_calls,retries,total_comp_tokens,empty_answer_turns,wall_s,ts
balanced@off,balanced,off,T1,0,success,2,2,0,103,0,4.3,06:41:51
balanced@off,balanced,off,T1,1,success,2,2,0,103,0,4.5,06:41:55
balanced@off,balanced,off,T2,0,success,3,2,1,125,0,5.5,06:42:01
balanced@off,balanced,off,T2,1,success,3,2,1,125,0,5.4,06:42:06
balanced@off,balanced,off,T3,0,success,2,2,0,104,0,4.1,06:42:10
balanced@off,balanced,off,T3,1,success,2,2,0,104,0,3.9,06:42:14
balanced@low,balanced,low,T1,0,success,2,2,0,191,0,8.5,06:42:22
balanced@low,balanced,low,T1,1,success,2,2,0,191,0,6.4,06:42:29
balanced@low,balanced,low,T2,0,success,3,2,1,219,0,10.1,06:42:39
balanced@low,balanced,low,T2,1,success,3,2,1,219,0,8.6,06:42:48
balanced@low,balanced,low,T3,0,success,2,2,0,165,0,7.1,06:42:55
balanced@low,balanced,low,T3,1,success,2,2,0,165,0,5.3,06:43:00
balanced@medium,balanced,medium,T1,0,success,2,2,0,157,0,5.5,06:43:06
balanced@medium,balanced,medium,T1,1,success,2,2,0,157,0,5.4,06:43:11
balanced@medium,balanced,medium,T2,0,success,3,2,1,185,0,8.0,06:43:19
balanced@medium,balanced,medium,T2,1,success,3,2,1,185,0,7.9,06:43:27
balanced@medium,balanced,medium,T3,0,success,2,2,0,142,0,5.3,06:43:32
balanced@medium,balanced,medium,T3,1,success,2,2,0,142,0,5.3,06:43:37
balanced@xhigh,balanced,xhigh,T1,0,success,2,2,0,277,0,12.6,06:43:50
balanced@xhigh,balanced,xhigh,T1,1,success,2,2,0,229,0,8.3,06:43:58
balanced@xhigh,balanced,xhigh,T2,0,success,3,2,1,218,0,10.8,06:44:09
balanced@xhigh,balanced,xhigh,T2,1,success,3,2,1,218,0,9.4,06:44:19
balanced@xhigh,balanced,xhigh,T3,0,success,2,2,0,313,0,14.2,06:44:33
balanced@xhigh,balanced,xhigh,T3,1,success,2,2,0,319,0,13.0,06:44:46
coding,coding,-,T1,0,success,2,2,0,155,0,14.5,06:45:00
coding,coding,-,T1,1,success,2,2,0,157,0,5.5,06:45:06
coding,coding,-,T2,0,success,3,2,1,198,0,10.3,06:45:16
coding,coding,-,T2,1,success,3,2,1,182,0,8.1,06:45:24
coding,coding,-,T3,0,success,2,2,0,129,0,6.3,06:45:31
coding,coding,-,T3,1,success,2,2,0,129,0,4.7,06:45:35
coding,coding,-,T1,0,success,2,2,0,155,0,147.7,17:30:44
coding,coding,-,T1,1,success,2,2,0,155,0,253.2,17:34:57
coding,coding,-,T2,0,success,3,2,1,152,0,359.1,17:40:56
coding,coding,-,T2,1,success,3,2,1,152,0,611.2,17:51:07
coding,coding,-,T3,0,success,2,2,0,199,0,672.0,18:02:19
coding,coding,-,T3,1,success,2,2,0,199,0,40.8,18:03:00
