chunk,filled,prefill_n,prefill_ms,prefill_tps,decode_n,decode_ms,decode_tps,probe_wall_s,ts
0,0,0,0,0,256,18693,13.6,19.4,09:04:21
1,19567,19567,60283,324.6,256,8264,30.9,8.8,09:05:30
2,39138,19571,74163,263.9,256,23000,11.1,23.6,09:07:09
3,58709,19571,90402,216.5,256,24783,10.3,25.5,09:09:05
4,78280,19571,111103,176.2,256,25872,9.9,26.6,09:11:23
5,97851,19571,136424,143.5,256,28215,9.0,29.1,09:14:09
6,117422,19571,165214,118.5,256,24643,10.3,25.6,09:17:21
7,136993,19571,196838,99.4,256,30909,8.2,31.9,09:21:10
8,156564,19571,228465,85.7,1,0,1000000.0,1.1,09:25:00
9,176135,19571,261674,74.8,1,0,1000000.0,1.2,09:29:24
10,195706,19571,294531,66.4,1,0,1000000.0,1.3,09:34:20
11,215277,19571,327625,59.7,1,0,1000000.0,1.4,09:39:50
