chunk,filled,prefill_n,prefill_ms,prefill_tps,decode_n,decode_ms,decode_tps,probe_wall_s,ts
0,0,0,0,0,256,18705,13.6,19.5,09:41:15
1,19567,19567,60451,323.7,256,8234,31.0,8.8,09:42:25
2,39138,19571,74311,263.4,256,22999,11.1,23.6,09:44:03
3,58709,19571,90365,216.6,256,24796,10.3,25.5,09:45:59
4,78280,19571,110952,176.4,256,25839,9.9,26.6,09:48:17
5,97851,19571,136389,143.5,256,28338,9.0,29.2,09:51:04
6,117422,19571,165505,118.3,256,24668,10.3,25.6,09:54:15
7,136993,19571,196774,99.5,256,30841,8.3,31.9,09:58:04
8,156564,19571,229372,85.3,256,30842,8.3,32.0,10:02:27
9,176135,19571,261218,74.9,256,35285,7.2,36.5,10:07:25
10,195706,19571,294009,66.6,256,34405,7.4,35.7,10:12:55
11,215277,19571,326950,59.9,256,38479,6.6,39.8,10:19:03
12,234848,19571,361919,54.1,256,43885,5.8,45.4,10:25:51
13,254419,19571,396724,49.3,256,46439,5.5,48.0,10:33:17
