cfg,t,tb,client,req,prompt_n,prefill_tps,decode_n,decode_tps,wall_s,ttfb_note
t16-tb32,16,32,1,0,4927,171.42098673705354,128,22.392008851841,37.2,
t16-tb32,16,32,0,0,4927,154.29378915357563,128,23.575544424706067,37.4,
t16-tb32,16,32,1,1,4927,162.3224250489298,128,22.008041188049084,36.4,
t16-tb32,16,32,0,1,4927,160.5584291904414,128,21.91932455601381,36.7,
t16-tb32,16,32,1,2,4927,272.7966232794351,128,7.079268169591612,36.4,
t16-tb32,16,32,0,2,4927,170.55453937466336,128,24.875781425059667,36.5,
t16-tb32,16,32,1,3,4927,272.4338372004617,128,6.762385414549018,37.3,
t16-tb32,16,32,0,3,4927,170.6244710191202,128,21.919504728790653,37.2,
t1-tb1,1,1,1,0,4927,170.54639228785544,128,22.47228885880099,37.4,
t1-tb1,1,1,0,0,4927,153.60459191372053,128,23.483196488675045,37.5,
t1-tb1,1,1,1,1,4927,161.71916631422917,128,21.95976113956063,36.6,
t1-tb1,1,1,0,1,4927,159.96771424902593,128,21.916659846247786,36.7,
t1-tb1,1,1,1,2,4927,271.95373728573503,128,7.074867351764395,36.4,
t1-tb1,1,1,0,2,4927,170.27888654128054,128,24.806812105646788,36.6,
t1-tb1,1,1,1,3,4927,271.3074502611726,128,6.739210760497822,37.4,
t1-tb1,1,1,0,3,4927,169.9275664347979,128,21.890830768999233,37.3,
t1-tb2,1,2,1,0,4927,170.18841899414673,128,22.483368893942966,37.4,
t1-tb2,1,2,0,0,4927,153.33435307265455,128,23.484820824577746,37.6,
t1-tb2,1,2,1,1,4927,161.38060832005962,128,21.897118441855795,36.6,
t1-tb2,1,2,0,1,4927,159.63794231325647,128,21.843748933410694,36.8,
t1-tb2,1,2,1,2,4927,271.7186144457351,128,7.044672414202083,36.6,
t1-tb2,1,2,0,2,4927,169.945472579486,128,24.646761839110557,36.7,
t1-tb2,1,2,1,3,4927,271.3195071071173,128,6.717933244632122,37.5,
t1-tb2,1,2,0,3,4927,169.82344565877227,128,21.73342024437533,37.3,
t2-tb1,2,1,0,0,4927,157.18624937115132,128,22.503274841813408,37.0,
t2-tb1,2,1,1,0,4927,155.24829675886804,128,23.48026722011613,37.2,
t2-tb1,2,1,0,1,4927,161.30222458258996,128,19.170007564664704,37.5,
t2-tb1,2,1,1,1,4927,159.5666058281873,128,20.174519046558537,37.3,
t2-tb1,2,1,0,2,4927,161.2969756571534,128,19.925010355557138,37.2,
t2-tb1,2,1,1,2,4927,159.56407883871032,128,19.912698374423755,37.5,
t2-tb1,2,1,0,3,4927,271.21788666274074,128,7.03159394039208,36.6,
t2-tb1,2,1,1,3,4927,169.5316144632936,128,24.667299794028047,36.8,
t2-tb2,2,2,1,0,4927,169.94506811099623,128,22.19312841793683,37.6,
t2-tb2,2,2,0,0,4927,152.664063827522,128,23.36884545853874,37.8,
t2-tb2,2,2,1,1,4927,161.19167332300708,128,21.916907524348314,36.7,
t2-tb2,2,2,0,1,4927,159.45460118436546,128,21.83793149747985,36.9,
t2-tb2,2,2,1,2,4927,271.18067176961875,128,7.04272662682721,36.6,
t2-tb2,2,2,0,2,4927,169.78280895129978,128,24.631025316460565,36.7,
t2-tb2,2,2,1,3,4927,271.1647171279237,128,6.710353162741477,37.5,
t2-tb2,2,2,0,3,4927,169.7211478440678,128,21.702040144366038,37.3,
t2-tb1-rerun,2,1,0,0,4927,171.02658333491564,128,21.906618588484683,37.4,
t2-tb1-rerun,2,1,1,0,4927,154.07323090971065,128,23.502025856267853,37.4,
t2-tb1-rerun,2,1,0,1,4927,161.79450232986383,128,21.87389936263217,36.6,
t2-tb1-rerun,2,1,1,1,4927,160.0321532431781,128,22.521650696235717,36.7,
t2-tb1-rerun,2,1,0,2,4927,160.8597137114998,128,22.924089385322784,36.5,
t2-tb1-rerun,2,1,1,2,4927,159.13182173928658,128,23.65340517562376,36.4,
t2-tb1-rerun,2,1,0,3,4927,161.2488693842594,128,20.857228846655534,37.0,
t2-tb1-rerun,2,1,1,3,4927,159.5172432571265,128,21.457702175140447,37.0,
