arm,turn,phase,prompt_tok,completion_tok,decode_tps,wall_s,ts
dflash6,0,build,107,192,22.8,9.5,13:25:14
dflash6,1,build,183,900,20.8,44.0,13:25:58
dflash6,2,build,213,900,20.6,44.4,13:26:42
dflash6,3,build,237,900,20.3,45.0,13:27:27
dflash6,4,build,262,900,21.6,42.3,13:28:09
dflash6,5,build,292,900,18.8,48.5,13:28:58
dflash6,6,build,321,900,20.4,44.8,13:29:43
dflash6,7,build,347,850,29.2,29.8,13:30:12
dflash6,8,build,1010,819,35.3,26.0,13:30:38
dflash6,9,regen,1714,712,39.0,21.0,13:31:00
dflash6k4v,0,build,107,192,22.7,9.4,13:31:19
dflash6k4v,1,build,183,900,21.0,43.7,13:32:03
dflash6k4v,2,build,213,900,20.3,44.9,13:32:48
dflash6k4v,3,build,237,900,20.1,45.4,13:33:33
dflash6k4v,4,build,262,900,23.1,39.6,13:34:13
dflash6k4v,5,build,292,900,18.9,48.4,13:35:01
dflash6k4v,6,build,321,900,20.5,44.6,13:35:46
dflash6k4v,7,build,347,850,29.3,29.7,13:36:15
dflash6k4v,8,build,1010,819,59.5,16.6,13:36:32
dflash6k4v,9,regen,1714,712,91.0,10.6,13:36:43
dflash5k4v,0,build,107,249,21.3,12.7,13:37:06
dflash5k4v,1,build,178,900,21.8,42.1,13:37:48
dflash5k4v,2,build,208,900,20.1,45.5,13:38:33
dflash5k4v,3,build,232,900,19.6,46.6,13:39:20
dflash5k4v,4,build,257,900,19.7,46.4,13:40:06
dflash5k4v,5,build,287,900,22.1,41.5,13:40:48
dflash5k4v,6,build,316,900,20.3,45.0,13:41:33
dflash5k4v,7,build,342,900,28.7,32.1,13:42:05
dflash5k4v,8,build,369,900,24.2,37.9,13:42:43
dflash5k4v,9,regen,398,1200,21.5,56.6,13:43:39
